case_number,date,description,type,url
DMA.100203,2025-03-18,https://ec.europa.eu/transparency/comitology-register/screen/documents/105784/1,DMAPubEventType01,NA
DMA.100204,2025-03-18,https://ec.europa.eu/transparency/comitology-register/screen/documents/106112/1,DMAPubEventType01,NA
DMA.100047,2024-03-20,https://ec.europa.eu/transparency/comitology-register/screen/documents/097119/1,DMAPubEventType01,NA
DMA.100041,2024-10-04,https://ec.europa.eu/transparency/comitology-register/screen/documents/101151/1,DMAPubEventType01,NA
DMA.100075,2026-07-23,Link to Comitology register,DMAPubEventType01,https://ec.europa.eu/transparency/comitology-register/screen/documents/117246/1/consult
DMA.100193,2026-07-23,Link to Comitology register,DMAPubEventType01,https://ec.europa.eu/transparency/comitology-register/screen/documents/117252/1/consult
DMA.100034,2024-02-01,https://ec.europa.eu/transparency/comitology-register/core/api/integration/ers/379612/095208/1/attachment,DMAPubEventType01,NA
DMA.100028,2024-02-01,https://ec.europa.eu/transparency/comitology-register/core/api/integration/ers/379612/095208/1/attachment,DMAPubEventType01,NA
DMA.100109,2025-04-22,Link to Comitology Register,DMAPubEventType01,https://ec.europa.eu/transparency/comitology-register/screen/documents/107008/1
DMA.100220,2026-07-15,Link to Comitology register,DMAPubEventType01,https://ec.europa.eu/transparency/comitology-register/screen/documents/117146/1/consult
DMA.100022,2024-02-01,https://ec.europa.eu/transparency/comitology-register/core/api/integration/ers/379607/095207/1/attachment,DMAPubEventType01,NA
DMA.100015,2024-02-01,https://ec.europa.eu/transparency/comitology-register/core/api/integration/ers/379612/095208/1/attachment,DMAPubEventType01,NA
DMA.100055,2025-04-22,https://ec.europa.eu/transparency/comitology-register/screen/documents/107009/1,DMAPubEventType01,NA
DMA.100209,2026-07-15,Link to Comitology register,DMAPubEventType01,https://ec.europa.eu/transparency/comitology-register/screen/documents/117145/1/consult
