case_number,decision_number,attachment_reference,attachment_category,attachment_link,attachment_language,attachment_sent_date,attachment_publication_date,attachment_id_sequence
DMA.100203,{00B10F91-6EDD-4C4B-9F1F-3315B75695AD},DMA.100203-DEC{00B10F91-6EDD-4C4B-9F1F-3315B75695AD}-ATT76,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202440/DMA_100203_76.pdf,EN,2024-10-01,2024-10-01,76
DMA.100203,{01452CC6-192B-41C4-851B-3EAB71A60281},DMA.100203-DEC{01452CC6-192B-41C4-851B-3EAB71A60281}-ATT1809,DocumentCategory4299,https://ec.europa.eu/competition/digital_markets_act/cases/202538/DMA_100203_1809.pdf,NS,2025-09-19,2025-09-19,1809
DMA.100203,{11EDB540-A87B-4D54-99B9-382CCD933C48},DMA.100203-DEC{11EDB540-A87B-4D54-99B9-382CCD933C48}-ATT1655,DocumentCategory3998,https://ec.europa.eu/competition/digital_markets_act/cases/202523/DMA_100203_1655.pdf,EN,2025-06-06,2025-06-06,1655
DMA.100203,{49736444-6756-452A-81C7-80293EC93FDC},DMA.100203-DEC{49736444-6756-452A-81C7-80293EC93FDC}-ATT1283,DocumentCategory4017,https://ec.europa.eu/competition/digital_markets_act/cases/20253/DMA_100203_1283.pdf,EN,2025-01-15,2025-01-15,1283
DMA.100005,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100005-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100005_136.pdf,EN,2023-09-05,2023-10-30,136
DMA.100204,{0007D53D-6C49-4B87-A742-DC50F9DD1250},DMA.100204-DEC{0007D53D-6C49-4B87-A742-DC50F9DD1250}-ATT1752,DocumentCategory4017,https://ec.europa.eu/competition/digital_markets_act/cases/20253/DMA_100204_1752.pdf,EN,2025-01-15,2025-01-15,1752
DMA.100204,{8D52B9AB-FCAD-47EF-B824-61BE04FC16B4},DMA.100204-DEC{8D52B9AB-FCAD-47EF-B824-61BE04FC16B4}-ATT2073,DocumentCategory3998,https://ec.europa.eu/competition/digital_markets_act/cases/202523/DMA_100204_2073.pdf,EN,2025-06-05,2025-06-05,2073
DMA.100204,{94503C37-5EB6-4450-B059-43AD9B54CBDD},DMA.100204-DEC{94503C37-5EB6-4450-B059-43AD9B54CBDD}-ATT35,DocumentCategory3976,https://ec.europa.eu/competition/digital_markets_act/cases/202440/DMA_100204_35.pdf,EN,2024-10-01,2024-10-01,35
DMA.100006,{1FE54005-431A-43CF-B373-5C7FB1EFB3D2},DMA.100006-DEC{1FE54005-431A-43CF-B373-5C7FB1EFB3D2},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100006_135.pdf,EN,2023-09-05,2023-10-30,135
DMA.100047,{F1DD4D5B-8ABF-4CDB-982C-AF47449383BE},DMA.100047-DEC{F1DD4D5B-8ABF-4CDB-982C-AF47449383BE}-ATT5136,DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202343/DMA_100047_5136.pdf,EN,2023-09-05,2023-10-27,5136
DMA.100047,{F604DC76-DD03-4853-8A76-21D42A7A6803},DMA.100047-DEC{F604DC76-DD03-4853-8A76-21D42A7A6803}-ATT5491,DocumentCategory3983,https://ec.europa.eu/competition/digital_markets_act/cases/202427/DMA_100047_5491.pdf,EN,2024-07-04,2024-07-04,5491
DMA.100004,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100004-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100004_279.pdf,EN,2023-09-05,2023-10-30,279
DMA.100009,{564D5143-E863-4715-A8AE-D15EAA7B50B9},DMA.100009-DEC{564D5143-E863-4715-A8AE-D15EAA7B50B9},DocumentCategory0349,https://ec.europa.eu/competition/digital_markets_act/cases/202344/DMA_100009_183.pdf,EN,2023-09-05,2023-10-30,183
