case_number,decision_number,reference,publicationDate,webDescription
DMA.100203,{00B10F91-6EDD-4C4B-9F1F-3315B75695AD},IP_24_4761,2024-09-19,NA
DMA.100203,{11EDB540-A87B-4D54-99B9-382CCD933C48},IP_25_816,2025-03-19,
DMA.100203,{49736444-6756-452A-81C7-80293EC93FDC},MEX_24_6544,2024-12-19,
DMA.100005,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},IP_23_4328,,NA
DMA.100204,{0007D53D-6C49-4B87-A742-DC50F9DD1250},MEX_24_6544,2024-12-19,
DMA.100204,{8D52B9AB-FCAD-47EF-B824-61BE04FC16B4},IP_25_816,2025-03-19,
DMA.100204,{94503C37-5EB6-4450-B059-43AD9B54CBDD},IP_24_4761,2024-09-19,NA
DMA.100006,{1FE54005-431A-43CF-B373-5C7FB1EFB3D2},IP_23_4328,2023-09-06,NA
DMA.100047,{F1DD4D5B-8ABF-4CDB-982C-AF47449383BE},IP_23_4328,NA,NA
DMA.100047,{F604DC76-DD03-4853-8A76-21D42A7A6803},IP_24_2363,,NA
DMA.100004,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},IP_23_4328,,NA
DMA.100009,{564D5143-E863-4715-A8AE-D15EAA7B50B9},IP_23_4328,,NA
DMA.100206,{1AEB95D8-84C2-4C38-89D2-B735E05ACA8B},IP_24_3433,2024-06-24,NA
DMA.100008,{564D5143-E863-4715-A8AE-D15EAA7B50B9},IP_23_4328,2023-09-06,NA
DMA.100041,{A51330F2-53EE-4FD9-B0E5-4E1B4553960C},MEX_24_5324,2024-10-24,
DMA.100041,{FA19CA1B-3661-40F5-8151-16D4B2DCC1E7},IP_24_2561,2024-05-13,NA
DMA.100042,{E35552D7-CA95-4AD2-A269-03AC1E84B650},IP_24_2561,2024-05-13,NA
DMA.100040,{B83B1673-D18A-4D1C-B36A-765FFC8CEDF0},IP_23_4328,,NA
DMA.100045,{6E4C6443-2789-414C-A2BF-1BF882408787},MEX_26_311,2026-02-05,
DMA.100002,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},IP_23_4328,,NA
DMA.100044,{37AF0374-5338-4BCA-A294-6C93D3B49A34},IP_25_1085,2025-04-23,
DMA.100044,{F05A5D40-5E73-4ECB-9537-582A4E3F3251},IP_23_4328,NA,NA
DMA.100236,{45930059-FD0F-4689-B14C-A507B4B654A8},IP_25_2717,2025-11-18,
DMA.100038,{1386C4A5-AB07-4CF0-9B4B-D8CBACB1AB1E},IP_23_4328,,NA
DMA.100075,{E9521267-2288-4A53-9F73-2BF23BC5C7DD},IP_24_1689,NA,NA
DMA.100193,{649445A8-318F-4236-8AFF-A98A68ABB900},IP_26_1670,2026-07-23,
DMA.100193,{8973FEAF-0FA4-446E-9808-7C4DA6C897A5},IP_24_1689,NA,NA
DMA.100232,{8242FE1D-A499-4E12-B388-1CC76132BCAF},IP_24_2561,2024-05-13,NA
DMA.100034,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},MEX_24_785,,NA
DMA.100034,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},IP_23_4328,NA,NA
DMA.100035,{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},IP_23_4328,NA,NA
DMA.100032,{4AAA1BE5-1B3E-4F76-89EE-2C8EF708F277},IP_25_2717,2025-11-18,
DMA.100231,{C7EDA13F-E389-4F03-8EEC-1C035655D04B},IP_25_2675,2025-11-13,
DMA.100033,{8385C9F4-90D6-4AE4-A38E-64FC35EDA1B7},MEX_25_2720,2025-11-18,
DMA.100027,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},IP_23_4328,2023-09-06,NA
DMA.100028,{1ABE6D99-2BC9-4474-BEB4-50CF95DCB14B},MEX_24_785,,NA
DMA.100028,{5A9280CD-F904-4BDB-8432-9AAAD0FE9D51},IP_23_4328,NA,NA
DMA.100025,{E7A9D911-F36A-4FAD-BC67-F0E3AFA390A2},IP_23_4328,2023-09-06,NA
DMA.100026,{76AD7838-D3B7-4FC6-9486-428D0C3DC16A},IP_23_4328,,NA
DMA.100109,{C76194A7-840E-4032-9152-FEFA2E6C1879},IP_25_1085,2025-04-23,
DMA.100109,{CF7775AC-72DE-44E1-9A3E-CBE2964BFF89},IP_24_1689,NA,NA
DMA.100185,{35B065BF-FCBF-49AF-9F56-2C55216077CB},IP_25_1086,2025-04-23,
DMA.100185,{C95930EC-24E8-4ED0-845A-63EBD6372EDA},IP_24_1689,NA,NA
DMA.100020,{73FBA51F-7BCB-4F1D-B72B-81DD2C20ABE9},IP_23_4328,NA,NA
DMA.100023,{A8AD762B-562E-4A27-9932-078117E94F5E},IP_23_4328,2023-09-06,NA
DMA.100024,{F05A5D40-5E73-4ECB-9537-582A4E3F3251},IP_23_4328,NA,NA
DMA.100220,{4D9AF053-49EB-46FF-B4E6-4CED17ABAADA},IP_26_887,2026-04-27,
DMA.100220,{5C5EE221-4F6F-42EC-B526-96B84DF0B9F1},IP_26_202,2026-01-27,
DMA.100220,{8E56723A-179E-4185-99F2-1F635C206D3A},IP_26_1634,2026-07-16,
DMA.100022,{0A4BC9A5-A226-436B-9152-6A832D77810F},MEX_24_785,NA,NA
DMA.100022,{84C6752D-3D5C-4AC0-9712-7BC15A84356A},IP_23_4328,NA,NA
