case_number,decision_number,decision_reference,decision_type_code,decision_type_label,decision_adoption_date,n_attachments
DMA.100203,{00B10F91-6EDD-4C4B-9F1F-3315B75695AD},DMA.100203-DEC{00B10F91-6EDD-4C4B-9F1F-3315B75695AD},DmaDecType039,Decision to open proceedings based on Art.8(2),2024-09-19,1
DMA.100203,{01452CC6-192B-41C4-851B-3EAB71A60281},DMA.100203-DEC{01452CC6-192B-41C4-851B-3EAB71A60281},DmaDecType014,Decision under waiver clause,2025-08-04,1
DMA.100203,{11EDB540-A87B-4D54-99B9-382CCD933C48},DMA.100203-DEC{11EDB540-A87B-4D54-99B9-382CCD933C48},DmaDecType011,Decision based on Art.8,2025-03-19,1
DMA.100203,{49736444-6756-452A-81C7-80293EC93FDC},DMA.100203-DEC{49736444-6756-452A-81C7-80293EC93FDC},DmaDecType013,Preliminary findings based on Art.8(5),2024-12-18,1
DMA.100005,{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DMA.100005-DEC{0096D7F1-E17C-402A-ADD2-5DD90FDA7BF3},DmaDecType002,Designation decision,2023-09-05,1
DMA.100204,{0007D53D-6C49-4B87-A742-DC50F9DD1250},DMA.100204-DEC{0007D53D-6C49-4B87-A742-DC50F9DD1250},DmaDecType013,Preliminary findings based on Art.8(5),2024-12-18,1
DMA.100204,{8D52B9AB-FCAD-47EF-B824-61BE04FC16B4},DMA.100204-DEC{8D52B9AB-FCAD-47EF-B824-61BE04FC16B4},DmaDecType011,Decision based on Art.8,2025-03-19,1
DMA.100204,{94503C37-5EB6-4450-B059-43AD9B54CBDD},DMA.100204-DEC{94503C37-5EB6-4450-B059-43AD9B54CBDD},DmaDecType039,Decision to open proceedings based on Art.8(2),2024-09-19,1
DMA.100006,{1FE54005-431A-43CF-B373-5C7FB1EFB3D2},DMA.100006-DEC{1FE54005-431A-43CF-B373-5C7FB1EFB3D2},DmaDecType005,Decision accepting rebuttal,2023-09-05,1
DMA.100047,{F1DD4D5B-8ABF-4CDB-982C-AF47449383BE},DMA.100047-DEC{F1DD4D5B-8ABF-4CDB-982C-AF47449383BE},DmaDecType030,Decision to open a market investigation based on Art.3(8) and Art.17(1),2023-09-05,1
